iter	Passed	Remaining
617	12306	7606
618	12321	7584
619	12339	7562
620	12354	7539
621	12384	7526
622	12401	7504
623	12424	7486
624	12442	7465
625	12460	7444
626	12479	7424
627	12496	7402
628	12510	7379
629	12527	7357
630	12545	7336
631	12561	7314
632	12586	7297
633	12603	7275
634	12619	7253
635	12636	7232
636	12653	7210
637	12671	7189
638	12685	7166
639	12701	7144
640	12721	7124
641	12737	7102
642	12753	7080
643	12769	7058
644	12785	7036
645	12801	7015
646	12816	6992
647	12834	6971
648	12853	6951
649	12869	6929
650	12890	6910
651	12921	6896
652	12938	6875
653	12955	6854
654	12971	6832
655	12987	6810
656	13004	6789
657	13027	6771
658	13043	6749
659	13060	6728
660	13075	6705
661	13091	6683
662	13109	6663
663	13125	6641
664	13140	6619
665	13156	6598
666	13172	6576
667	13190	6555
668	13207	6534
669	13224	6513
670	13241	6492
671	13256	6470
672	13272	6449
673	13289	6427
674	13305	6406
675	13321	6384
676	13337	6363
677	13356	6343
678	13374	6322
679	13387	6300
680	13404	6279
681	13420	6257
682	13437	6236
683	13454	6215
684	13470	6194
685	13488	6174
686	13502	6151
687	13519	6131
688	13536	6109
689	13550	6087
690	13565	6066
691	13582	6045
692	13606	6027
693	13621	6006
694	13637	5984
695	13662	5967
696	13677	5945
697	13694	5925
698	13712	5904
699	13728	5883
700	13745	5862
701	13778	5848
702	13807	5833
703	13825	5812
704	13858	5798
705	13873	5777
706	13899	5760
707	13917	5740
708	13937	5720
709	13955	5700
710	13974	5680
711	14010	5667
712	14029	5647
713	14048	5627
714	14065	5606
715	14084	5586
716	14101	5565
717	14118	5545
718	14135	5524
719	14153	5504
720	14168	5482
721	14187	5462
722	14204	5442
723	14222	5421
724	14239	5401
725	14254	5379
726	14271	5359
727	14290	5339
728	14306	5318
729	14323	5297
730	14339	5276
731	14358	5257
732	14378	5237
733	14394	5216
734	14410	5195
735	14425	5174
736	14442	5153
737	14462	5134
738	14479	5113
739	14495	5092
740	14511	5072
741	14529	5052
742	14548	5032
743	14565	5011
744	14582	4991
745	14614	4975
746	14632	4955
747	14648	4935
748	14665	4914
749	14681	4893
750	14699	4873
751	14715	4852
752	14732	4832
753	14747	4811
754	14762	4790
755	14779	4770
756	14796	4749
757	14810	4728
758	14825	4707
759	14858	4692
760	14875	4671
761	14908	4656
762	14925	4636
763	14947	4617
764	14964	4596
765	14983	4577
766	15000	4556
767	15016	4536
768	15036	4516
769	15053	4496
770	15073	4477
771	15089	4456
772	15108	4436
773	15129	4417
774	15155	4399
775	15174	4380
776	15202	4363
777	15221	4343
778	15241	4323
779	15259	4304
